Time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12	A1 (Std Err Well)	B1 (Std Err Well)	C1 (Std Err Well)	D1 (Std Err Well)	E1 (Std Err Well)	F1 (Std Err Well)	G1 (Std Err Well)	H1 (Std Err Well)	A2 (Std Err Well)	B2 (Std Err Well)	C2 (Std Err Well)	D2 (Std Err Well)	E2 (Std Err Well)	F2 (Std Err Well)	G2 (Std Err Well)	H2 (Std Err Well)	A3 (Std Err Well)	B3 (Std Err Well)	C3 (Std Err Well)	D3 (Std Err Well)	E3 (Std Err Well)	F3 (Std Err Well)	G3 (Std Err Well)	H3 (Std Err Well)	A4 (Std Err Well)	B4 (Std Err Well)	C4 (Std Err Well)	D4 (Std Err Well)	E4 (Std Err Well)	F4 (Std Err Well)	G4 (Std Err Well)	H4 (Std Err Well)	A5 (Std Err Well)	B5 (Std Err Well)	C5 (Std Err Well)	D5 (Std Err Well)	E5 (Std Err Well)	F5 (Std Err Well)	G5 (Std Err Well)	H5 (Std Err Well)	A6 (Std Err Well)	B6 (Std Err Well)	C6 (Std Err Well)	D6 (Std Err Well)	E6 (Std Err Well)	F6 (Std Err Well)	G6 (Std Err Well)	H6 (Std Err Well)	A7 (Std Err Well)	B7 (Std Err Well)	C7 (Std Err Well)	D7 (Std Err Well)	E7 (Std Err Well)	F7 (Std Err Well)	G7 (Std Err Well)	H7 (Std Err Well)	A8 (Std Err Well)	B8 (Std Err Well)	C8 (Std Err Well)	D8 (Std Err Well)	E8 (Std Err Well)	F8 (Std Err Well)	G8 (Std Err Well)	H8 (Std Err Well)	A9 (Std Err Well)	B9 (Std Err Well)	C9 (Std Err Well)	D9 (Std Err Well)	E9 (Std Err Well)	F9 (Std Err Well)	G9 (Std Err Well)	H9 (Std Err Well)	A10 (Std Err Well)	B10 (Std Err Well)	C10 (Std Err Well)	D10 (Std Err Well)	E10 (Std Err Well)	F10 (Std Err Well)	G10 (Std Err Well)	H10 (Std Err Well)	A11 (Std Err Well)	B11 (Std Err Well)	C11 (Std Err Well)	D11 (Std Err Well)	E11 (Std Err Well)	F11 (Std Err Well)	G11 (Std Err Well)	H11 (Std Err Well)	A12 (Std Err Well)	B12 (Std Err Well)	C12 (Std Err Well)	D12 (Std Err Well)	E12 (Std Err Well)	F12 (Std Err Well)	G12 (Std Err Well)	H12 (Std Err Well)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1.129771	3.252368	2.83274	2.221296	1.156423	1.602548	3.647446	1.219302	2.266302	3.569829	2.019646	0.1956372	3.044932	32.24565	33.03778	53.20047	23.24884	19.98026	1.290869	28.41682	26.84091	27.97253	41.91099	35.29911	29.66688	32.62314	21.85409	27.21833	4.932188	6.328884	6.886056	1.80656	1.191394	34.55801	32.68055	32.89826	24.24804	30.4146	30.84016	34.83388	25.38611	4.136493	15.37676	30.9211	3.650358	30.67628	32.06348	37.55389	15.03583	15.26671	24.68351	24.00451	14.52911	5.305569	34.94948	33.66364	19.44823	26.71486	30.81978	31.37723	3.158275	38.4145	2.569954	1.192111	33.0863	19.32747	39.562	2.693469	32.95932	12.25898	3.539106	-2.365736	1.100231	31.19343	-0.9724247	-2.422378	2.312186	8.650143	8.744994	0.7621698	1.295913	6.761377	-0.01065195	5.043259	9.085386	6.908275	3.560719	1.330983	-0.2258456	0.687622	0.9745349	-1.331469	5.831478	8.802188	4.271679	3.0837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2.9247	7.430371	5.34487	4.521999	2.204174	3.752074	4.898138	2.628326	4.63253	7.502103	3.899597	25.23283	4.559271	34.37125	35.11752	53.12065	26.96029	23.89092	2.841177	28.18523	28.01554	29.57045	45.62501	36.09367	30.65099	33.31437	24.28345	28.19339	7.066351	9.743967	9.911396	1.906752	3.04916	36.34503	32.01282	32.16354	26.34455	32.75972	31.47182	35.24773	28.85173	9.613426	17.46566	33.3898	6.224359	31.87793	31.82933	37.95698	14.6201	16.16803	24.97667	23.05778	18.88151	11.18496	38.26452	34.0139	19.7018	28.25159	32.32432	31.04011	7.560429	44.11325	5.43011	1.8569	31.48397	20.02425	40.17056	2.297038	38.04747	23.9471	6.918063	-2.077181	1.080277	31.54239	-0.517502	-2.240412	6.904112	18.42229	11.6698	1.737873	2.783789	8.288681	1.019091	4.738953	14.73313	15.63558	6.210531	2.839479	0.5671892	1.979656	1.181196	-1.437183	10.97083	18.18263	6.672915	4.520583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5.501875	12.29879	8.328653	8.494627	3.69367	6.864627	6.763176	5.348012	7.394896	13.11548	7.181159	0.4002792	6.401255	9.325586	37.0271	56.03337	29.32521	26.01313	5.279653	30.31846	29.92203	35.07064	47.99893	38.41545	31.86445	36.72224	23.79056	29.42495	30.25649	45.52237	12.41692	2.574007	5.126121	41.25369	35.08383	34.37544	26.73226	35.00644	33.62518	36.94955	32.57977	17.96945	15.78134	33.92731	8.549658	31.84553	34.16966	39.16269	14.28346	17.87953	25.91118	25.04086	22.53954	19.05981	40.55574	35.20016	20.81017	27.60122	34.60324	30.87953	12.3658	50.9858	9.11603	3.138945	33.77621	20.23496	41.81952	3.319934	39.94283	34.26448	11.06542	-1.048288	1.176335	33.19151	-0.0701642	-2.667308	12.36612	28.82399	14.68476	3.019277	36.77777	11.05593	2.339278	5.356147	19.99043	23.37857	9.001631	5.048517	0.0124824	3.185978	0.7310418	-1.545106	17.75977	29.04947	9.393665	6.492901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	7.148608	16.72916	9.605036	11.81084	4.549926	9.925265	7.577604	11.57935	10.23777	18.70562	8.669973	27.79731	6.660874	37.80891	36.81806	54.91666	29.82512	30.49069	7.441445	29.10426	29.56293	33.37571	47.08979	36.31016	33.89516	45.19416	27.6286	31.49614	9.946151	17.82099	12.68235	2.7537	6.31331	47.80595	35.39594	35.37763	27.57962	37.27268	33.66556	36.9755	34.25544	25.64237	18.78982	35.07492	9.294907	33.90841	34.04581	38.48058	14.82753	18.10298	26.04566	25.97671	24.98048	26.30883	41.98119	34.68705	20.88227	28.33459	35.06583	32.45013	37.70186	56.89708	11.58679	3.53258	35.27312	21.05712	44.40264	2.852165	44.32744	41.95432	13.40444	-0.9918426	1.399555	34.91142	0.1717178	-2.584853	16.41314	36.01431	17.02957	3.786513	4.551592	12.60348	2.400975	5.178593	23.11232	30.76229	10.77207	6.015715	-0.1533698	3.522365	0.5252248	-1.496446	22.85333	37.12226	11.92203	7.184067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	9.18917	20.73629	11.06363	14.44364	5.292246	13.17356	7.481874	11.18545	13.04014	23.82606	10.47828	25.79502	6.583927	40.89461	36.59661	55.3971	33.79567	36.88792	8.976283	28.71722	30.44638	38.50806	47.08735	36.30427	34.09344	49.41849	26.93029	31.50348	10.42883	19.97009	13.1926	2.313551	7.308318	51.71328	37.60207	32.10727	28.35844	12.93	34.99767	36.97349	33.59977	34.15694	20.99007	36.47886	10.09111	35.80982	34.27567	38.83175	16.14426	16.93573	26.96653	25.08455	28.84749	31.86465	44.40611	35.69856	20.476	28.83659	34.4711	32.07362	20.29028	61.08987	13.28053	4.163353	33.8283	21.64402	44.19923	2.640645	48.22389	49.08421	15.03854	-0.9301416	1.404229	32.87171	0.01475728	-2.906115	21.00348	43.37051	19.05844	3.998994	5.189768	12.95812	2.565555	4.178461	26.48716	37.50047	12.4302	6.778235	0.2679894	4.169795	0.4140509	-1.844812	26.02214	42.89423	13.96698	7.890631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	11.92715	26.14658	13.90582	18.10648	6.819199	17.50887	10.20208	15.46412	15.60425	28.5392	13.52317	0.5118048	8.372953	40.99874	39.01041	55.84397	32.04121	40.76743	10.63368	29.52428	31.07144	44.14581	50.31248	37.92996	34.49996	49.85258	25.25913	32.06955	28.18198	25.31717	14.76259	3.184353	8.608038	48.9967	36.08395	30.06431	28.22765	18.24021	37.70882	37.9206	33.92712	40.72758	20.27138	36.90804	11.58382	37.4925	34.82737	37.77479	14.53876	16.23003	20.73864	21.48071	30.9353	39.02036	46.58459	35.38704	21.12442	24.17366	29.86696	30.95847	24.52772	63.94764	15.61104	5.516563	35.66225	20.14104	32.03377	3.223303	47.64297	57.43626	17.09239	-0.2975606	1.683364	25.73908	0.2662667	-2.182038	23.36549	50.66371	21.0061	5.041213	6.492877	14.59414	3.058219	4.472901	31.85386	44.69023	13.90008	8.212703	0.1378284	5.069677	0.5777663	-1.596876	30.69658	50.50914	16.36504	9.390909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	12.57832	30.03259	15.39174	20.06409	7.078287	19.85627	9.640596	13.77971	17.13033	32.66294	15.31308	0.009033263	8.333582	44.5632	38.94125	56.0255	34.47599	45.87999	12.14364	29.90538	33.05373	46.76351	50.67367	39.64364	36.83261	56.24395	29.43546	33.96348	31.63594	28.74442	14.73318	1.94478	9.685673	62.03076	40.09719	34.08749	27.8039	45.52353	37.80482	37.12497	38.05585	46.19754	21.72929	38.37094	11.69163	40.84583	36.66548	37.76259	18.31458	17.80302	26.48226	26.95479	34.37814	44.30206	47.65369	35.22297	20.61613	29.32491	35.85301	31.79858	44.33677	69.79761	16.13637	5.40516	34.65974	21.63482	41.57751	2.684093	52.30014	64.24213	17.07366	-0.6855536	1.945009	36.39092	0.2723377	-2.620393	26.19568	54.9002	22.34884	4.882816	36.29169	15.31727	2.909534	4.356479	33.81091	51.63879	14.43447	8.754686	0.4647675	5.556596	0.516609	-1.632106	33.84671	56.00145	17.17063	9.905376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	13.85331	33.38991	16.23318	21.67446	7.285694	24.30564	9.700371	7.065398	19.60665	35.7105	16.48973	25.26285	8.061472	46.41301	39.12827	56.6621	37.41878	49.75736	14.00379	30.37837	33.38464	52.04915	50.96333	37.15915	36.72878	62.30342	28.76857	32.58451	29.80615	33.843	15.3427	2.189475	10.55745	65.16808	40.33532	33.06874	28.22935	50.94296	39.12902	36.7759	39.20933	49.93064	22.23093	37.0563	12.8104	42.81285	35.37915	36.67482	17.32193	18.31187	26.16867	26.24471	36.50507	49.37558	48.76418	35.6451	21.77046	30.69298	32.60242	31.2619	26.77581	74.2718	16.36187	5.445262	37.72126	22.67414	40.6438	2.45402	53.91979	70.36383	18.18598	-0.757051	1.82969	35.03724	0.3414775	-2.862228	28.41706	60.38307	22.7692	5.284652	6.382891	16.57282	2.99415	4.354195	37.68189	56.54562	14.8916	9.432098	0.629586	6.327257	0.4810014	-1.692342	38.75515	60.2985	18.12492	9.738967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	15.13059	36.70013	18.02055	23.83523	8.297607	29.57158	12.3451	9.147388	21.48347	38.88833	18.30741	0.8071384	9.44288	32.26459	38.67906	54.03521	33.8786	52.39869	15.78444	27.47882	32.38245	54.28162	49.08359	35.28629	29.68774	59.98409	29.88272	31.14132	31.30503	39.3102	16.81144	3.655261	11.4815	61.33324	37.45498	27.19261	26.48819	52.8672	37.66716	34.44408	36.8617	53.95339	24.76534	36.4466	14.10938	44.42995	34.51805	34.52599	12.54412	15.27921	17.92934	20.21933	37.18944	55.40583	46.46753	31.6625	15.33088	24.19363	26.64198	28.405	29.87652	75.82904	18.40582	6.039283	28.47841	18.18229	31.2816	3.363592	52.81065	73.97315	19.86127	0.09101307	2.102903	27.32453	0.5819299	-2.236031	29.84951	66.38567	23.92795	6.381426	32.58161	18.30323	3.559436	4.021884	41.46942	61.30884	16.09679	10.86769	0.7066889	6.612367	0.5699495	-1.361313	42.35011	64.92194	19.78528	10.68257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	16.2853	39.51864	18.91608	25.17211	8.477777	33.92528	12.59644	13.75332	22.91032	40.6774	19.90608	0.07682377	9.400148	54.63002	39.83118	55.40986	37.3678	56.09546	16.94434	29.83442	34.78421	56.57039	49.58897	37.10516	38.22278	67.64738	35.37465	34.83787	15.1106	43.5553	17.19238	2.961335	11.92604	72.5822	45.56268	32.44464	29.64819	61.06889	36.49968	36.81127	40.36327	55.94273	24.31093	38.97545	14.50585	50.77934	36.24878	38.555	14.48234	17.22524	25.60088	24.99662	39.99089	61.0981	44.93051	34.97031	21.77803	29.16446	34.90411	31.68617	32.18987	80.56696	18.10738	6.003151	36.97576	24.02367	43.24427	3.470371	56.60806	78.16445	20.39835	0.02635062	2.326617	37.28242	0.4169272	-2.998434	31.75248	68.75969	24.12955	6.610954	41.17295	19.02617	3.452446	3.161675	44.15949	64.29957	16.24968	11.06195	0.8262535	7.389819	0.5005625	-1.296165	44.46867	69.55653	20.29061	11.41223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	17.3136	41.35667	20.15794	25.91217	8.515075	39.63054	12.94294	7.051232	24.63571	43.35924	20.68519	24.29084	9.626526	54.71202	38.9157	53.50152	36.79797	58.92057	18.08774	28.65269	33.91698	59.21322	47.32694	34.42085	36.23708	66.71916	32.62536	32.90434	15.33511	48.68536	17.80462	2.794766	12.58131	69.08336	41.50758	31.61475	29.72892	50.14484	37.51931	34.59908	38.41656	58.53511	25.32389	38.63331	34.22174	54.22332	35.84711	35.72938	12.69264	17.30273	17.51756	22.54904	40.64551	65.62309	46.04088	32.79882	20.86959	24.76348	27.18621	29.51805	34.48749	82.37801	18.2016	6.026882	35.8433	20.29727	32.49594	3.572401	56.68121	81.07433	20.62952	0.2574133	2.273731	28.91942	0.3511753	-3.870253	35.12691	70.58601	24.41207	6.613727	40.15198	18.94856	3.538619	2.610987	46.34046	68.17874	16.02737	11.31617	1.394586	7.38685	0.4774466	-1.780942	45.96128	70.80096	20.40811	11.44431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	18.97378	44.45365	22.30936	28.1782	10.43371	45.8953	14.39715	9.402395	26.0845	45.7155	22.52671	0.9357451	11.82567	61.62187	43.32613	60.01665	41.2024	64.25633	19.58262	32.57125	37.98446	63.59142	54.63912	39.92545	37.03659	74.25284	34.83488	35.64179	36.01298	56.31399	19.46794	3.657955	13.8217	78.56155	44.49199	32.86451	31.28387	69.50583	41.79241	38.33497	42.19254	59.81931	27.18292	41.90462	16.46214	62.4204	39.76418	41.37659	15.94096	20.40306	27.30572	27.17155	43.53257	70.02298	51.16354	37.95458	23.6003	30.91059	34.55484	1.396864	38.26727	85.07072	20.16737	6.89763	38.37368	21.81202	43.30844	3.735822	59.33809	83.47711	21.98306	1.344627	2.339389	37.78363	0.610741	-1.607064	38.85537	74.64777	25.9627	7.197793	8.603775	20.46348	3.89921	6.462849	49.5508	72.63693	17.23241	12.47126	1.645751	8.655722	0.6360192	-1.399842	50.5459	74.041	21.21923	13.04661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	19.49093	45.91698	22.40294	28.39542	10.20233	49.40887	14.38636	12.74183	27.12625	48.23781	23.43276	28.65313	11.12551	66.91763	43.6293	58.74316	40.30877	65.75175	20.61559	30.55196	37.0012	67.0762	51.62003	38.06263	41.08504	74.13812	38.05019	36.25874	33.0997	62.33293	18.82248	3.055449	14.60651	80.18013	49.08712	31.01036	32.89077	61.28115	41.47591	38.57806	41.03628	61.65312	27.73721	41.49406	36.94958	65.27921	38.30605	40.95189	16.55479	17.49105	25.80581	23.85042	44.39626	73.22182	47.48006	34.54299	22.95096	31.89006	34.48991	32.45406	53.78465	86.08727	20.08031	6.638664	38.71841	25.01697	44.18391	3.64002	62.32336	86.15828	21.83743	1.10722	2.761675	37.05362	0.5980513	-2.029808	40.69585	76.22583	25.82476	6.941016	8.701823	20.18962	3.855444	6.06575	51.42279	74.88976	17.52244	12.66845	1.810203	9.16818	0.4678266	-1.467617	53.31355	75.69374	21.67264	13.36837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	20.35747	48.34224	23.4495	29.29109	10.20485	53.26249	14.39136	11.91865	28.19925	49.5166	24.2763	-0.1853971	10.98085	71.3381	43.96297	58.13057	40.47401	67.19995	21.47226	29.86984	37.12545	70.00801	52.82169	35.84798	40.49675	74.80151	35.17379	36.17921	34.87986	68.74511	19.55709	2.869405	15.37769	80.88727	48.20687	32.46183	30.66347	78.18859	40.38789	36.78392	43.48069	63.26042	28.86057	42.41827	17.60447	70.86425	38.71467	39.42879	16.07853	18.07236	25.40557	25.16196	47.86058	75.13377	49.21781	34.91423	23.64847	31.54324	34.56448	31.04545	40.33479	86.22894	19.94572	6.49528	38.75683	24.01509	42.70154	3.781718	61.3438	87.54941	22.14357	1.353884	3.096543	37.83055	0.6577662	-2.284095	42.58353	78.75261	25.75767	7.898472	8.464681	21.44257	3.772289	6.384097	55.76302	77.59417	17.11633	12.83113	2.247585	9.033883	0.3968716	-1.521974	54.32866	77.48671	21.15575	14.07232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	21.62424	50.39419	25.05897	31.53071	11.49258	58.36929	16.63003	15.37498	29.64614	51.61266	25.78874	0.9807352	12.58931	74.34915	42.03611	58.1834	41.53985	68.6333	22.52243	30.51244	37.67896	75.37151	53.06408	37.02551	42.14703	74.24685	36.7043	36.90785	36.15383	76.23868	21.05255	3.73713	16.7102	77.08957	47.39095	29.65975	32.14582	80.43076	41.14153	37.07509	42.25313	65.23962	28.47082	40.46577	18.92533	75.94582	38.23532	40.70476	17.20185	20.23645	18.90606	23.08957	49.01844	78.38292	49.66425	34.99725	22.57639	27.31125	29.09537	30.53186	43.52405	88.61908	21.34363	7.366489	38.32796	22.45504	32.93997	4.341855	63.92227	88.71589	22.95893	2.269473	3.743091	30.27568	0.786962	-1.888397	43.70396	80.95808	27.10188	8.642859	9.711224	22.48995	4.12009	6.84014	57.81745	77.96214	18.20031	14.16343	2.354421	10.1434	0.5996595	-1.18083	56.47419	77.44548	22.00773	15.43713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	22.2301	52.73502	26.43013	32.37757	11.28669	62.6143	17.39728	15.48823	30.51842	53.00955	26.37291	0.626688	12.67145	80.44138	43.29985	60.58642	45.72306	70.43823	23.43023	31.98727	39.67636	79.20045	56.49429	38.79409	39.98345	77.67194	41.99493	39.08022	21.10274	81.15833	20.91898	3.669669	17.04699	82.07822	51.48441	30.60095	32.51031	83.48359	39.59956	37.84312	47.26181	65.76523	32.23419	43.30882	19.47058	79.45141	39.8865	41.35182	19.49972	20.08928	27.90656	26.07261	50.27194	82.4744	48.1559	36.93242	22.47537	32.08341	34.87899	32.37068	45.04395	88.04301	20.99125	7.357403	38.6184	25.90441	43.27409	4.187592	65.71851	88.57691	22.01622	2.108167	3.819366	38.69397	0.8579158	-1.732868	45.32064	81.60123	26.72304	9.072647	10.84418	22.98281	4.3905	6.662773	60.09	81.30025	18.1632	14.05852	2.372739	9.894999	0.3941702	-1.376634	54.85007	81.60469	22.48525	15.57862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	22.76124	53.70475	27.13061	32.7977	11.23679	65.36465	17.14725	14.92832	31.54256	55.08002	26.90727	-0.1899259	12.13718	84.57471	43.37867	60.24619	45.4789	71.60912	24.06568	30.70564	38.94882	81.93359	53.63924	39.60386	42.70931	78.09136	41.61593	38.97668	21.02816	85.98339	21.20185	3.920776	18.02538	84.79606	51.96535	34.80876	34.11902	80.0489	42.83248	39.67287	47.6638	66.18594	31.38048	43.53979	19.67135	83.44991	40.52383	42.1495	18.91996	19.30964	27.1097	26.71534	51.10415	80.43578	48.33514	36.67782	22.6006	32.66813	34.74732	31.58456	47.20231	89.97473	20.84322	7.042325	37.97176	27.80472	42.55508	4.185771	66.17791	90.37404	21.13129	2.249736	4.152391	38.63413	0.8413203	-2.31953	44.67116	83.20699	27.18909	8.80806	11.06745	23.29471	4.391833	5.893436	61.71195	82.96581	17.99767	13.82143	2.486137	10.12019	0.4073036	-1.597555	55.33811	83.2289	21.90926	16.14234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
